id,code,day_offset,city
87,IAX,1,Roma
88,IAX,2,Roma
89,IAX,3,Roma
90,IAX,4,Firenze
91,IAX,5,Firenze
92,IAX,6,Madrid
93,IAX,7,Madrid
94,IAX,8,Barcelona
95,IAX,9,Barcelona
96,IAX,10,Valencia
97,IAX,11,Valencia
98,IAX,12,Valencia
99,APB,1,Zurich
100,APB,2,Zurich
101,APB,3,Lucerne
102,APB,4,Lucerne
103,APB,5,Cinque Terre
104,APB,6,French Riviera
105,APB,7,Provence
106,APB,8,Provence
107,APB,9,Barcelona
108,APB,10,Barcelona
109,APB,11,Barcelona
110,BJF,1,Paris
111,BJF,2,Paris
112,BJF,3,Paris
113,BJF,4,Biarritz
114,BJF,5,San Sebastian
115,BJF,6,Carcassone
116,BJF,7,Provence
117,BJF,8,French Riviera
118,BJF,9,French Riviera
119,BJF,10,French Riviera
120,CIM,1,Madrid
121,CIM,2,Madrid
122,CIM,3,Madrid
123,CIM,4,Toledo
124,CIM,5,Sevilla
125,CIM,6,Sevilla
126,CIM,7,Costa del Sol
127,CIM,8,Costa del Sol
128,EFS,1,London
129,EFS,2,London
130,EFS,3,London
131,EFS,4,Paris
132,EFS,5,Paris
133,EFS,6,Loire
134,EFS,7,Bordeaux
135,EFS,8,Biarritz
136,EFS,9,San Sebastian
137,EFS,10,Pamplona
138,EFS,11,Barcelona
139,EFS,12,Barcelona
140,EMC,1,Milan
141,EMC,2,Cinque Terre
142,EMC,3,Cinque Terre
143,EMC,4,French Riviera
144,EMC,5,French Riviera
145,EMC,6,Barcelona
146,EMC,7,Barcelona
147,EMC,8,Barcelona
148,EMC,9,Barcelona
149,EXS,1,Malaga
150,EXS,2,Malaga
151,EXS,3,Granada
152,EXS,4,Sevilla
153,EXS,5,Sevilla
154,EXS,6,Cordoba
155,EXS,7,Madrid
156,EXS,8,Madrid
157,EXS,9,Barcelona
158,EXS,10,Barcelona
159,EXS,11,Barcelona
160,FRS,1,Paris
161,FRS,2,Paris
162,FRS,3,Paris
163,FRS,4,Paris
164,FRS,5,Provence
165,FRS,6,Provence
166,FRS,7,Provence
167,FRS,8,Figueres
168,FRS,9,Barcelona
169,FRS,10,Barcelona
170,FRS,11,Barcelona
171,FTS,1,Paris
172,FTS,2,Paris
173,FTS,3,Paris
174,FTS,4,Paris
175,FTS,5,Barcelona
176,FTS,6,Barcelona
177,FTS,7,Barcelona
178,FTS,8,Madrid
179,FTS,9,Madrid
180,FTS,10,Madrid
181,GFS,1,Munich
182,GFS,2,Munich
183,GFS,3,Munich
184,GFS,4,Heidelberg
185,GFS,5,Heidelberg
186,GFS,6,Reims
187,GFS,7,Paris
188,GFS,8,Paris
189,GFS,9,Provence
190,GFS,10,Barcelona
191,GFS,11,Barcelona
192,GFS,12,Madrid
193,GFS,13,Madrid
194,GFS,14,Madrid
195,LPB,1,London
